alpha,free_energy
0.0,16.10393112531128
0.40816326530612246,16.23520954309083
0.8163265306122449,16.574499772434244
1.2244897959183674,16.993524139607217
1.6326530612244898,17.362643449109413
2.0408163265306123,17.60174257245958
2.4489795918367347,17.687802727684506
2.857142857142857,17.636112566092088
3.2653061224489797,17.47806685796889
3.673469387755102,17.24640871088148
4.081632653061225,16.96855873303575
4.4897959183673475,16.66500520093296
4.8979591836734695,16.35002942178558
5.3061224489795915,16.033114197600792
5.714285714285714,15.720311595996604
6.122448979591837,15.41532324031784
6.530612244897959,15.120289764749842
6.938775510204081,14.836330196878208
7.346938775510204,14.563903486557559
7.755102040816327,14.303058848085563
8.16326530612245,14.0535822790273
8.571428571428571,13.81510515194666
8.979591836734695,13.587171019060271
9.387755102040817,13.36927850188675
9.795918367346939,13.160909628656746
10.204081632653061,12.96154844022667
10.612244897959183,12.77069131841184
11.020408163265307,12.587854197738006
11.428571428571429,12.412576561572383
11.83673469387755,12.24442218312282
12.244897959183675,12.082983727831781
12.653061224489797,11.927874384870815
13.061224489795919,11.778735854078423
13.46938775510204,11.635232188015685
13.877551020408163,11.497050343747345
14.285714285714286,11.363897875551151
14.693877551020408,11.23550211241996
15.10204081632653,11.111608817906081
15.510204081632654,10.991980597598616
15.918367346938776,10.87639643764857
16.3265306122449,10.764648707973082
16.73469387755102,10.656544834512756
17.142857142857142,10.551903987373365
17.551020408163264,10.450556916779014
17.95918367346939,10.352345355583271
18.367346938775512,10.257120769996078
18.775510204081634,10.164743986601513
19.183673469387756,10.075084247043137
19.591836734693878,9.988018760701351
20.0,9.903432044238505
