alpha,free_energy
0.0,-3.5310242469692907
0.40816326530612246,-3.530726923781498
0.8163265306122449,-3.5267377029055087
1.2244897959183674,-3.5125042701911147
1.6326530612244898,-3.4829663725830384
2.0408163265306123,-3.437035681555751
2.4489795918367347,-3.377009795051975
2.857142857142857,-3.306801235107317
3.2653061224489797,-3.2304549777506506
3.673469387755102,-3.1513669910475715
4.081632653061225,-3.072052421942976
4.4897959183673475,-2.994206621178523
4.8979591836734695,-2.9188737589696414
5.3061224489795915,-2.846625919075197
5.714285714285714,-2.7777140283087483
6.122448979591837,-2.7121818969908906
6.530612244897959,-2.6499469951139796
6.938775510204081,-2.5908551685786456
7.346938775510204,-2.534716390915195
7.755102040816327,-2.48132732841088
8.16326530612245,-2.43048502473938
8.571428571428571,-2.381994756511133
8.979591836734695,-2.335674152953531
9.387755102040817,-2.2913549824719848
9.795918367346939,-2.2488835285409046
10.204081632653061,-2.2081201510555224
10.612244897959183,-2.168938411399706
11.020408163265307,-2.1312239960792065
11.428571428571429,-2.094873580618955
11.83673469387755,-2.059793715732594
12.244897959183675,-2.02589978012598
12.653061224489797,-1.9931150210142763
13.061224489795919,-1.9613696894167905
13.46938775510204,-1.9306002691828488
13.877551020408163,-1.9007487943018313
14.285714285714286,-1.8717622469347381
14.693877551020408,-1.8435920278615379
15.10204081632653,-1.8161934910873798
15.510204081632654,-1.7895255348288186
15.918367346938776,-1.7635502417855564
16.3265306122449,-1.7382325623605994
16.73469387755102,-1.7135400352455155
17.142857142857142,-1.689442540496439
17.551020408163264,-1.6659120808708152
17.95918367346939,-1.642922587767956
18.367346938775512,-1.6204497486186633
18.775510204081634,-1.5984708530050613
19.183673469387756,-1.5769646551675978
19.591836734693878,-1.5559112508788357
20.0,-1.5352919669399954
